,game_key,pitcher,1,2,3,4,5,6,7,8,9
0,20180324SSOB0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
1,20180325SSOB0,"[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.75, 0.75, 1.25, 0.0, 0.5, 0.0]","[0.6666666666666666, 0.6666666666666666, 1.6666666666666667, 1.0, 0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,20180327LTOB0,"[0, 0, 0, 0]","[0.16666666666666666, 0.25, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.0, 0.25, 0.0, 0.0, 0.16666666666666666, 0.0]","[0.125, 0.125, 0.125, 0.0, 0.125, 0.0]","[0.125, 0.125, 0.125, 1.0, 0.0, 0.125]","[0.625, 0.625, 0.875, 0.0, 0.25, 0.0]","[0.42857142857142855, 0.42857142857142855, 0.8571428571428571, 1.0, 0.14285714285714285, 0.2857142857142857]","[0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.0, 0.14285714285714285, 0.14285714285714285]","[0.2, 0.3333333333333333, 0.2, 0.0, 0.2, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,20180328LTOB0,"[0, 0, 0, 0]","[0.3333333333333333, 0.46153846153846156, 0.4444444444444444, 0.0, 0.2222222222222222, 0.2222222222222222]","[0.2, 0.38461538461538464, 0.3, 0.6666666666666666, 0.2, 0.3]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.08333333333333333, 0.0]","[0.09090909090909091, 0.08333333333333333, 0.09090909090909091, 0.5, 0.0, 0.18181818181818182]","[0.45454545454545453, 0.5, 0.6363636363636364, 0.0, 0.18181818181818182, 0.0]","[0.3333333333333333, 0.45454545454545453, 0.6666666666666666, 1.0, 0.2222222222222222, 0.2222222222222222]","[0.3, 0.3, 0.7, 0.0, 0.1, 0.1]","[0.2222222222222222, 0.3, 0.2222222222222222, 0.0, 0.1111111111111111, 0.0]","[0.0, 0.5, 0.0, 0.0, 1.0, 0.0]"
4,20180329LTOB0,"[0, 0, 0, 0]","[0.3076923076923077, 0.4444444444444444, 0.5384615384615384, 0.5, 0.23076923076923078, 0.3076923076923077]","[0.21428571428571427, 0.3888888888888889, 0.2857142857142857, 0.75, 0.14285714285714285, 0.2857142857142857]","[0.1875, 0.23529411764705882, 0.1875, 0.0, 0.1875, 0.0]","[0.15384615384615385, 0.25, 0.38461538461538464, 0.5, 0.07692307692307693, 0.3076923076923077]","[0.4, 0.4375, 0.5333333333333333, 0.25, 0.13333333333333333, 0.06666666666666667]","[0.23076923076923078, 0.3333333333333333, 0.46153846153846156, 0.6666666666666666, 0.15384615384615385, 0.15384615384615385]","[0.23076923076923078, 0.2857142857142857, 0.5384615384615384, 0.0, 0.15384615384615385, 0.07692307692307693]","[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,20180330OBKT0,"[8.307692307692308, 2.307692307692308, 2.0, 4.333333333333333]","[0.29411764705882354, 0.4090909090909091, 0.47058823529411764, 0.5, 0.17647058823529413, 0.23529411764705882]","[0.2222222222222222, 0.36363636363636365, 0.2777777777777778, 0.75, 0.16666666666666666, 0.2222222222222222]","[0.25, 0.2857142857142857, 0.3, 0.0, 0.2, 0.0]","[0.17647058823529413, 0.25, 0.35294117647058826, 0.5, 0.11764705882352941, 0.29411764705882354]","[0.5, 0.55, 0.6666666666666666, 0.25, 0.16666666666666666, 0.05555555555555555]","[0.25, 0.3684210526315789, 0.4375, 0.6, 0.125, 0.3125]","[0.17647058823529413, 0.2222222222222222, 0.4117647058823529, 0.0, 0.11764705882352941, 0.058823529411764705]","[0.16666666666666666, 0.23076923076923078, 0.16666666666666666, 0.0, 0.08333333333333333, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,20180331OBKT0,"[5.142857142857142, 1.0, 4.0, 7.0]","[0.2857142857142857, 0.37037037037037035, 0.47619047619047616, 0.2, 0.14285714285714285, 0.23809523809523808]","[0.2608695652173913, 0.37037037037037035, 0.391304347826087, 0.5, 0.17391304347826086, 0.2608695652173913]","[0.24, 0.2692307692307692, 0.28, 0.0, 0.16, 0.0]","[0.15, 0.25, 0.3, 0.3333333333333333, 0.15, 0.25]","[0.5, 0.56, 0.8181818181818182, 0.3333333333333333, 0.18181818181818182, 0.18181818181818182]","[0.2, 0.3333333333333333, 0.35, 0.5, 0.1, 0.25]","[0.2, 0.23809523809523808, 0.4, 0.0, 0.1, 0.05]","[0.3125, 0.35294117647058826, 0.3125, 0.2, 0.125, 0.0]","[0.0, 0.18181818181818182, 0.0, 0.0, 0.1111111111111111, 0.0]"
7,20180401OBKT0,"[0.0, 0.5, 9.0, 6.0]","[0.3076923076923077, 0.375, 0.5384615384615384, 0.3333333333333333, 0.15384615384615385, 0.23076923076923078]","[0.16666666666666666, 0.2, 0.3333333333333333, 0.0, 0.08333333333333333, 0.041666666666666664]","[0.3, 0.3225806451612903, 0.4, 0.14285714285714285, 0.16666666666666666, 0.06666666666666667]","[0.2, 0.27586206896551724, 0.44, 0.42857142857142855, 0.2, 0.28]","[0.5, 0.5862068965517241, 0.7916666666666666, 0.3333333333333333, 0.20833333333333334, 0.16666666666666666]","[0.16666666666666666, 0.27586206896551724, 0.2916666666666667, 0.42857142857142855, 0.08333333333333333, 0.25]","[0.3157894736842105, 0.38095238095238093, 0.3157894736842105, 0.16666666666666666, 0.15789473684210525, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.5, 0.0, 0.0, 0.6666666666666666, 0.0]"
8,20180403LGOB0,"[6.0, 1.8333333333333333, 3.0, 6.0]","[0.2903225806451613, 0.35135135135135137, 0.4838709677419355, 0.2222222222222222, 0.12903225806451613, 0.1935483870967742]","[0.2857142857142857, 0.375, 0.39285714285714285, 0.4444444444444444, 0.17857142857142858, 0.21428571428571427]","[0.2857142857142857, 0.3055555555555556, 0.37142857142857144, 0.125, 0.14285714285714285, 0.05714285714285714]","[0.1724137931034483, 0.2647058823529412, 0.3793103448275862, 0.3333333333333333, 0.1724137931034483, 0.27586206896551724]","[0.48148148148148145, 0.5757575757575758, 0.7407407407407407, 0.3333333333333333, 0.2222222222222222, 0.14814814814814814]","[0.2222222222222222, 0.30303030303030304, 0.4444444444444444, 0.42857142857142855, 0.1111111111111111, 0.3333333333333333]","[0.20689655172413793, 0.23333333333333334, 0.41379310344827586, 0.0, 0.13793103448275862, 0.034482758620689655]","[0.30434782608695654, 0.36, 0.30434782608695654, 0.14285714285714285, 0.13043478260869565, 0.0]","[0.07692307692307693, 0.2, 0.15384615384615385, 0.25, 0.15384615384615385, 0.15384615384615385]"
9,20180404LGOB0,"[1.5, 0.6666666666666666, 2.0, 6.0]","[0.25, 0.32558139534883723, 0.4166666666666667, 0.2, 0.1111111111111111, 0.16666666666666666]","[0.2647058823529412, 0.34210526315789475, 0.38235294117647056, 0.45454545454545453, 0.14705882352941177, 0.20588235294117646]","[0.275, 0.2926829268292683, 0.35, 0.125, 0.15, 0.05]","[0.5, 0.5789473684210527, 0.78125, 0.2857142857142857, 0.21875, 0.15625]","[0.22580645161290322, 0.3333333333333333, 0.5161290322580645, 0.4, 0.12903225806451613, 0.3548387096774194]","[0.2962962962962963, 0.3448275862068966, 0.2962962962962963, 0.25, 0.1111111111111111, 0.037037037037037035]","[0.1875, 0.21212121212121213, 0.375, 0.0, 0.125, 0.03125]","[0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]","[0.23529411764705882, 0.3157894736842105, 0.29411764705882354, 0.25, 0.11764705882352941, 0.11764705882352941]"
10,20180407NCOB0,"[4.354838709677419, 1.4516129032258063, 4.5, 5.166666666666667]","[0.3, 0.3, 0.5, 0.0, 0.3, 0.0]","[0.225, 0.3125, 0.375, 0.16666666666666666, 0.125, 0.15]","[0.27906976744186046, 0.32608695652173914, 0.4186046511627907, 0.125, 0.16279069767441862, 0.06976744186046512]","[0.1935483870967742, 0.2972972972972973, 0.3870967741935484, 0.3333333333333333, 0.1935483870967742, 0.25806451612903225]","[0.2647058823529412, 0.37209302325581395, 0.5294117647058824, 0.36363636363636365, 0.11764705882352941, 0.3235294117647059]","[0.3, 0.391304347826087, 0.5, 0.4, 0.15, 0.25]","[0.2903225806451613, 0.3333333333333333, 0.2903225806451613, 0.18181818181818182, 0.0967741935483871, 0.03225806451612903]","[0.20588235294117646, 0.25, 0.38235294117647056, 0.0, 0.11764705882352941, 0.029411764705882353]","[0.5, 0.5, 0.5, 0.0, 0.0, 0.0]"
